x;y;ID;site_name
3500950;5574879;1;Glauberg (Buedingen)
3565435;5516010;2;Marienberg (Wuerzburg)
3436670;5481900;3;Heidenmauer (Bad Duerkheim)
3333365;5468940;4;Limberg (Wallerfangen)
3367800;5445550;5;Homerich (Reinheim)
3425730;5425730;6;Hexenberg (Leutenheim)
3509880;5418960;7;Hohenaspereg (Asperg)
3599250;5415480;8;Ipf (Bopfingen)
3530750;5328900;9;Heuneburg (Hundersingen)
3455320;5326450;10;Kapf (Villingen)
3394125;5322357;11;"Muensterberg (Breisach)
"
3370500;5283050;12;Britzgyberg (Illfurth)
3310550;5422750;13;Mont de Tincry (Tincry) 
3284025;5369075;14;Cote de Sion (Saxon-Sion)
3242600;5261400;15;Gray
3237825;5253800;16;Mont Guerin
3257300;5220691;17;Camp du Chateau (Salins)
3461250;5245000;18;Uetliberg (Zuerich)
