"loc10_typ_b","nodes"
"1","B42213",7
"2","B4221",7
"3","B413",7
"4","B4211",7
"5","B4211",9
"6","B4211",9
"7","B411",9
"8","B45",9
"9","B4113",7
"10","B42113",7
"11","B47",7
"12","B4114",10
"13","B411",9
"14","B43",9
"15","B43",9
"16","B4211",9
"17","B49",9
"18","B42112",7
"19","B43",6
"20","B4",7
"21","B411",9
"22","B4119",7
"23","B47",7
"24","B4221",7
"25","B45",7
"26","B4",7
"27","B45",7
"28","B45",7
"29","B43",9
"30","B4211",7
"31","B4211",7
"32","B4221",7
"33","B4221",7
"34","B4114",10
"35","B43",7
"36","B411",9
"37","B422",9
"38","B45",9
"39","B43",9
"40","B43",9
"41","B4221",7
"42","B4211",7
"43","B4114",10
"44","B411",2
"45","B4212",2
"46","B411",7
"47","B4211",7
"48","B413",7
"49","B4119",7
"50","B4",7
"51","B411",7
"52","B42119",7
"53","B45",9
"54","B4211",7
"55","B4113",7
"56","B4211",7
"57","B4113",7
"58","B413",7
"59","B412",7
"60","B45",7
"61","B4221",7
"62","B47",7
"63","B411",7
"64","B47",7
"65","B4219",7
"66","B4211",7
"67","B411",7
"68","B411",9
"69","B419",7
"70","B413",7
"71","B4221",7
"72","B4221",7
"73","B413",7
"74","B4113",7
"75","B43",7
"76","B49",7
"77","B411",9
"78","B42213",7
"79","B43",7
"80","B42113",7
"81","B43",7
"82","B45",7
"83","B49",7
"84","B41",10
"85","B42112",7
"86","B42112",7
"87","B411",9
"88","B42211",9
"89","B42219",9
"90","B411",9
"91","B41",7
"92","B4211",7
"93","B45",9
"94","B411",7
"95","B412",7
"96","B4221",10
"97","B42113",9
"98","B42113",9
"99","B411",9
"100","B4114",9
"101","B4114",9
"102","B4114",9
"103","B4221",9
"104","B413",9
"105","B4114",9
"106","B43",9
"107","B41",9
"108","B45",7
"109","B43",9
"110","B49",9
"111","B49",9
"112","B49",9
"113","B421",9
"114","B421",9
"115","B48",3
"116","B413",6
"117","B4113",8
"118","B49",8
"119","B43",8
"120","B411",7
"121","B413",7
"122","B42111",7
"123","B4211",2
"124","B4119",2
"125","B411",2
"126","B45",8
"127","B4113",8
"128","B42111",8
"129","B4212",8
"130","B47",8
"131","B413",8
"132","B4127",8
"133","B4",9
"134","B49",9
"135","B43",9
"136","B4211",9
"137","B4212",9
"138","B43",9
"139","B49",9
"140","B4211",9
"141","B4",8
"142","B42219",7
"143","B413",8
"144","B4211",8
"145","B41",8
"146","B4211",9
"147","B4211",9
"148","B411",8
"149","B411",9
"150","B413",9
"151","B43",9
"152","B4212",9
"153","B4211",9
"154","B4129",9
"155","B413",9
"156","B42112",9
"157","B4119",9
"158","B4119",8
"159","B4211",9
"160","B45",8
"161","B43",9
"162","B4126",9
"163","B4212",9
"164","B43",8
"165","B4211",8
"166","B4114",9
"167","B411",8
"168","B419",8
"169","B411",8
"170","B4211",8
"171","B419",8
"172","B419",8
"173","B419",8
"174","B419",8
"175","B419",8
"176","B419",8
"177","B4",7
"178","B4",7
"179","B411",8
"180","B45",9
"181","B411",9
"182","B4211",9
"183","B4221",9
"184","B41291",7
"185","B4113",7
"186","B413",7
"187","B4221",9
"188","B4211",9
"189","B4211",9
"190","B4221",11
"191","B43",9
"192","B4211",9
"193","B4",7
"194","B4",7
"195","B43",7
"196","B4",7
"197","B43",7
"198","B4",7
"199","B4",7
"200","B4",7
"201","B4",7
"202","B4",7
"203","B4",7
"204","B4",7
"205","B4",7
"206","B4",7
"207","B4",7
"208","B4",7
"209","B4221",9
"210","B4221",9
"211","B4211",7
"212","B4211",7
"213","B42112",7
"214","B43",9
"215","B4211",9
"216","B4211",9
"217","B411",9
"218","B413",9
"219","B42112",9
"220","B45",3
"221","B4221",7
"222","B4119",8
"223","B4113",3
"224","B43",9
"225","B411",9
"226","B42113",9
"227","B4211",9
"228","B42113",9
"229","B421",9
"230","B421",9
"231","B4211",9
"232","B4211",9
"233","B411",9
"234","B43",9
"235","B419",9
"236","B42",9
"237","B411",3
"238","B43",9
"239","B42111",7
"240","B4211",2
"241","B49",2
"242","B42213",3
"243","B4",7
"244","B413",7
"245","B42119",7
"246","B4211",8
"247","B411",9
"248","B4211",9
"249","B4211",9
"250","B411",9
"251","B4211",9
"252","B4221",9
"253","B411",9
"254","B4113",9
"255","B4211",9
"256","B411",7
"257","B45",8
"258","B413",9
"259","B411",9
"260","B419",9
"261","B4221",9
"262","B4211",9
"263","B4211",9
"264","B4221",9
"265","B4221",9
"266","B43",9
"267","B43",9
"268","B42112",9
"269","B4211",9
"270","B4",9
"271","B43",9
"272","B4211",9
"273","B411",2
"274","B4221",9
"275","B4211",11
"276","B43",7
"277","B4222",7
"278","B422",7
"279","B45",7
"280","B4211",7
"281","B43",7
"282","B4211",7
"283","B4211",7
"284","B45",7
"285","B43",9
"286","B42113",9
"287","B42113",9
"288","B4113",9
"289","B413",9
"290","B412",9
"291","B43",9
"292","B421",9
"293","B4211",9
"294","B42113",9
"295","B42111",9
"296","B42111",9
"297","B4211",18
"298","B411",9
"299","B413",9
"300","B42111",9
"301","B42111",9
"302","B43",9
"303","B42112",9
"304","B49",9
"305","B46",9
"306","B411",10
"307","B49",9
"308","B4113",9
"309","B4211",9
"310","B43",9
"311","B4229",9
"312","B4221",9
"313","B411",9
"314","B4211",9
"315","B4211",9
"316","B4221",9
"317","B4",9
"318","B43",9
"319","B4211",9
"320","B42",9
"321","B43",9
"322","B45",9
"323","B4113",7
"324","B42113",7
"325","B413",7
"326","B43",9
"327","B4",9
"328","B4211",7
"329","B4113",7
"330","B4211",7
"331","B47",7
"332","B4211",8
"333","B4211",8
"334","B4211",8
"335","B43",7
"336","B421",9
"337","B42212",9
"338","B42212",9
"339","B49",9
"340","B42212",9
"341","B42212",9
"342","B42212",9
"343","B42212",9
"344","B42212",9
"345","B42212",9
"346","B42212",9
"347","B42212",9
"348","B42212",9
"349","B42212",9
"350","B42212",9
"351","B42212",9
"352","B42212",9
"353","B42212",9
"354","B42212",9
"355","B42212",9
"356","B42212",9
"357","B42212",9
"358","B42212",9
"359","B42212",9
"360","B42212",9
"361","B42212",9
"362","B42212",9
"363","B42212",9
"364","B42212",9
"365","B42212",9
"366","B42212",9
"367","B42212",9
"368","B42212",9
"369","B42212",9
"370","B42212",9
"371","B42212",9
"372","B42212",9
"373","B42212",9
"374","B42212",9
"375","B42212",9
"376","B42212",9
"377","B42212",9
"378","B42212",9
"379","B42212",9
"380","B42212",9
"381","B42212",9
"382","B42212",9
"383","B42212",9
"384","B42212",9
"385","B42212",9
"386","B42212",9
"387","B42212",9
"388","B42212",9
"389","B4211",9
"390","B4211",9
"391","B4212",9
"392","B4211",9
"393","B43",9
"394","B43",9
"395","B43",9
"396","B421",7
"397","B4211",7
"398","B421",9
"399","B43",9
"400","B421",9
"401","B41",9
"402","B45",9
"403","B411",7
"404","B42112",9
"405","B47",9
"406","B4211",9
"407","B411",3
"408","B421",8
"409","B4211",9
"410","B4211",9
"411","B45",11
"412","B412",10
"413","B412",10
"414","B4212",10
"415","B4221",10
"416","B45",3
"417","B45",3
"418","B421",9
"419","B421",9
"420","B4211",8
"421","B4211",8
"422","B411",9
"423","B4211",2
"424","B42111",7
"425","B4113",7
"426","B413",7
"427","B4113",7
"428","B411",7
"429","B413",7
"430","B49",7
"431","B4",7
"432","B4221",7
"433","B4",7
"434","B4221",7
"435","B4113",10
"436","B43",9
"437","B42113",9
"438","B4211",9
"439","B4221",9
"440","B4221",9
"441","B4221",9
"442","B4221",9
"443","B4221",9
"444","B4221",9
"445","B4221",9
"446","B4221",9
"447","B4221",9
"448","B4",7
"449","B4211",7
"450","B411",7
"451","B42112",7
"452","B43",7
"453","B4119",7
"454","B4211",7
"455","B4212",7
"456","B4113",6
"457","B411",9
"458","B411",9
"459","B43",9
"460","B45",9
"461","B42113",9
"462","B4211",7
"463","B419",7
"464","B413",7
"465","B43",7
"466","B42113",7
"467","B47",7
"468","B43",9
"469","B4211",9
"470","B4113",7
"471","B4221",9
"472","B4221",9
"473","B43",9
"474","B42112",7
"475","B48",7
"476","B411",7
"477","B419",7
"478","B4211",7
"479","B4211",7
"480","B411",9
"481","B4113",8
"482","B43",8
"483","B413",9
"484","B411",9
"485","B4211",9
"486","B4114",9
"487","B411",9
"488","B49",7
"489","B43",9
"490","B43",9
"491","B43",9
"492","B43",9
"493","B43",9
"494","B43",7
"495","B411",7
"496","B4221",7
"497","B47",9
"498","B419",9
"499","B43",10
"500","B43",6
"501","B4211",9
"502","B411",9
"503","B411",7
"504","B43",9
"505","B45",9
"506","B42213",7
"507","B4221",8
"508","B4221",8
"509","B41",7
"510","B41",7
"511","B41",7
"512","B4211",7
"513","B411",7
"514","B43",7
"515","B4221",9
"516","B45",10
"517","B42113",6
"518","B4",2
"519","B4211",2
"520","B4211",2
"521","B42213",9
"522","B45",8
"523","B45",8
"524","B4211",10
"525","B4114",7
"526","B412",7
"527","B413",7
"528","B411",9
"529","B413",9
"530","B43",7
"531","B4221",7
"532","B4221",7
"533","B4221",7
"534","B4221",7
"535","B4113",10
"536","B413",10
"537","B4121",10
"538","B422111",10
"539","B42213",7
"540","B4113",7
