Fundstelle;Typ;Quelle;SpÃ¤tmesolithikum;FrÃ¼hneolithikum;Mittelneolithikum;Mittelneolithikum I;Mittelneolithikum II;Mittelneolithikum III/IV;Mittelneolithikum V;Jungneolithikum;SpÃ¤tneolithikum;Neolithikum;Rechts;Hoch
Kasseedorf LA54;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4414892;6006318
Kellenhusen LA16;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4439610;6007651
Kellenhusen LA19;Siedlung;Karnatz 1987;0;0;1;1;0;1;1;1;0;0;4438125;6006980
Lensahn LA18;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4427342;6012331
Lensahn LA62;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4426650;6013358
Lensahn LA101;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4426849;6013796
Lensahn LA105;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4428754;6011142
Lensahn LA106;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4429119;6011676
Lensahn LA107;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4428593;6011573
Lensahn LA109;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4429003;6010645
Lensahn LA110;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4428845;6010329
Lensahn LA115;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4426895;6011245
Lensahn LA139;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4426634;6008908
Lensahn LA140;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4425787;6009015
Manhagen LA114;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4431205;6007653
Neustadt LA4;Siedlung;Karnatz 1987;1;1;0;0;0;0;0;0;0;0;4421535;5995649
Neustadt LA11;Siedlung;Karnatz 1987;1;0;0;0;0;0;0;0;0;0;4421854;5998337
Neustadt LA12;Siedlung;Karnatz 1987;1;1;1;1;0;0;0;0;0;0;4421674;5998171
Neustadt LA16 a;Siedlung;Karnatz 1987;1;1;1;1;0;0;0;0;0;0;4423539;5996106
Neustadt LA18;Siedlung;Karnatz 1987;1;0;1;1;1;1;0;0;0;0;4424702;5996156
Neustadt LA36;Siedlung;Karnatz 1987;0;0;0;0;0;0;0;0;0;1;4424471;5999084
Neustadt LA55;Siedlung;Karnatz 1987;1;0;1;1;1;1;0;1;1;0;4427321;5997534
Schashagen LA203;Siedlung;Karnatz 1987;0;0;0;0;0;0;0;0;0;1;4427302;5997609
Neustadt LA58;Siedlung;Karnatz 1987;1;1;1;1;1;1;0;1;1;0;4422265;5996861
Neustadt LA59;Siedlung;Karnatz 1987;1;0;0;0;0;0;0;0;0;0;4422537;5996683
Neustadt LA60;Siedlung;Karnatz 1987;1;0;1;0;0;1;0;0;0;0;4422607;5996942
Neustadt LA61;Siedlung;Karnatz 1987;1;0;1;0;1;1;0;0;1;0;4421764;5997167
Neustadt LA62;Siedlung;Karnatz 1987;0;0;1;1;1;0;0;1;0;1;4424953;5996019
Neustadt LA75;Siedlung;Karnatz 1987;0;1;1;1;1;1;0;0;0;1;4425850;5997190
Neustadt LA107;Siedlung;Karnatz 1987;1;0;0;0;0;0;0;0;0;0;4427471;5997181
Oldenburg LA20;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;1;4425274;6017817
Oldenburg LA58;Siedlung;Karnatz 1987;0;0;1;1;1;1;0;1;0;0;4427538;6016939
Oldenburg LA63;Siedlung;Karnatz 1987;0;0;1;1;1;1;1;1;0;0;4426871;6017288
Oldenburg LA70;Siedlung;Karnatz 1987;0;0;1;0;0;0;1;0;0;0;4428423;6016205
Riepsdorf LA73;Siedlung;Karnatz 1987;1;0;0;0;0;0;0;0;0;0;4423534;6019684
Riepsdorf LA1;Siedlung;Karnatz 1987;0;0;1;1;1;1;0;1;1;0;4433080;6012120
Göhl LA35;Siedlung;Mennenga 2011;0;0;1;1;1;1;1;0;0;0;4435433;6015994
Göhl LA40;Siedlung;Mennenga 2011;0;0;1;1;1;1;1;0;0;0;4434188;6015787
Göhl LA45;Siedlung;Mennenga 2011;1;1;1;1;1;1;1;0;0;0;4433003;6017729
Göhl LA46;Siedlung;Mennenga 2011;1;1;1;1;1;1;1;0;0;0;4432889;6017682
Göhl LA80;Siedlung;Mennenga 2011;1;1;1;1;1;1;1;0;0;0;4432162;6019079
Göhl LA95;Siedlung;Mennenga 2011;0;0;1;1;1;1;1;0;0;0;4432852;6017199
Göhl LA124;Siedlung;Mennenga 2011;1;1;0;0;0;0;0;0;0;0;4434301;6014666
Göhl LA124;Siedlung;Mennenga 2011;0;0;1;0;0;1;1;1;1;0;4434297;6014668
Göhl LA128;Siedlung;Mennenga 2011;0;0;0;0;0;0;0;1;0;0;4430169;6016518
Gremersdorf LA129;Siedlung;Mennenga 2011;0;1;1;1;0;0;0;0;0;0;4428970;6023660
Gremersdorf LA239;Siedlung;Mennenga 2011;0;0;1;1;1;1;1;1;1;0;4433966;6024910
Groszenbrode LA28;Siedlung;Mennenga 2011;0;0;1;0;1;1;1;1;0;0;4443320;6028120
Groszenbrode LA30;Siedlung;Mennenga 2011;0;0;1;0;1;1;1;1;1;0;4442540;6027040
Groszenbrode LA45;Siedlung;Mennenga 2011;0;0;0;0;0;0;0;1;0;0;4441740;6026420
Groszenbrode LA46;Siedlung;Mennenga 2011;0;0;0;0;0;0;0;1;0;0;4441580;6026260
Groszenbrode LA85;Siedlung;Mennenga 2011;0;0;1;1;1;1;1;1;1;0;4437920;6027100
Groszenbrode LA101;Siedlung;Mennenga 2011;0;0;1;0;1;1;1;1;0;0;4436408;6026033
Grube LA6;Siedlung;Mennenga 2011;1;1;0;0;0;0;0;0;0;0;4439739;6014400
Grube LA12a;Siedlung;Mennenga 2011;0;1;0;0;0;0;0;0;0;0;4438348;6014414
Grube LA25;Siedlung;Mennenga 2011;0;1;0;0;0;0;0;0;0;0;4438647;6014611
Grube LA33;Siedlung;Mennenga 2011;1;1;0;0;0;0;0;0;0;0;4436223;6011960
Grube LA58;Siedlung;Mennenga 2011;1;1;0;0;0;0;0;0;0;0;4438188;6013935
Grube LA58;Siedlung;Mennenga 2011;1;1;0;0;0;0;0;0;0;0;4438250;6013877
Grube LA60;Siedlung;Mennenga 2011;0;0;1;1;1;1;1;0;0;0;4437289;6013853
Grube LA61;Siedlung;Mennenga 2011;0;0;0;0;0;0;0;1;0;0;4437593;6014066
Grube LA62;Siedlung;Mennenga 2011;0;0;0;0;0;0;0;0;1;0;4439645;6014198
Grube LA63;Siedlung;Mennenga 2011;0;0;0;0;0;0;0;0;1;0;4439406;6014339
Grube LA66;Siedlung;Mennenga 2011;1;0;0;0;0;0;0;0;0;0;4437013;6012909
Grube LA68;Siedlung;Mennenga 2011;1;1;0;0;0;0;0;0;0;0;4436481;6012512
Grube LA68;Siedlung;Mennenga 2011;1;1;0;0;0;0;0;0;0;0;4436518;6012450
Grube LA69;Siedlung;Mennenga 2011;1;1;0;0;0;0;0;0;0;0;4439358;6012750
Grube LA70;Siedlung;Mennenga 2011;1;1;0;0;0;0;0;0;0;0;4439432;6012832
Grube LA70;Siedlung;Mennenga 2011;1;1;0;0;0;0;0;0;0;0;4439432;6012832
Grube LA71;Siedlung;Mennenga 2011;1;1;0;0;0;0;0;0;0;0;4439221;6012931
Grube LA72;Siedlung;Mennenga 2011;1;1;0;0;0;0;0;0;0;0;4439649;6013117
Grube LA81;Siedlung;Mennenga 2011;0;0;1;1;1;1;1;0;0;0;4438669;6012304
Grube LA82;Siedlung;Mennenga 2011;0;0;1;1;1;1;1;1;1;0;4439407;6015555
Grube LA83;Siedlung;Mennenga 2011;1;1;0;0;0;0;0;0;0;0;4438311;6013885
Grube LA84;Siedlung;Mennenga 2011;1;1;0;0;0;0;0;0;0;0;4438642;6013445
Heiligenhafen LA15;Siedlung;Mennenga 2011;0;0;1;0;0;0;1;1;1;0;4435057;6025992
Heiligenhafen LA17;Siedlung;Mennenga 2011;0;0;1;1;1;1;1;1;1;0;4435472;6026434
Heiligenhafen LA28;Siedlung;Mennenga 2011;0;0;1;1;1;1;1;1;1;0;4434722;6026518
Heiligenhafen LA33;Siedlung;Mennenga 2011;0;0;1;1;1;1;0;0;0;0;4434490;6025720
Heiligenhafen LA45;Siedlung;Mennenga 2011;0;0;1;1;1;1;1;1;1;0;4434320;6025600
Heiligenhafen LA47;Siedlung;Mennenga 2011;0;0;1;0;1;1;1;1;1;0;4433777;6026438
Heiligenhafen LA55;Siedlung;Mennenga 2011;0;0;0;0;0;0;0;1;0;0;4432396;6025322
Heiligenhafen LA120;Siedlung;Mennenga 2011;0;0;0;0;0;0;0;1;0;0;4432854;6026743
Heiligenhafen LA141;Siedlung;Mennenga 2011;0;0;1;0;1;1;1;1;1;0;4431100;6025470
Heringsdorf LA103;Siedlung;Mennenga 2011;0;1;1;1;1;1;1;1;1;0;4434720;6018680
Neukirchen LA1;Siedlung;Mennenga 2011;0;0;0;0;0;0;0;1;1;0;4439070;6023580
Neukirchen LA2;Siedlung;Mennenga 2011;0;0;0;0;0;0;0;1;1;0;4439100;6024000
Neukirchen LA3;Siedlung;Mennenga 2011;0;0;1;0;0;1;1;1;1;0;4439287;6024139
Neukirchen LA10;Siedlung;Mennenga 2011;0;0;0;0;0;0;0;1;1;0;4439000;6024400
Neukirchen LA12;Siedlung;Mennenga 2011;0;1;1;1;1;1;1;1;1;0;4438740;6024800
Neukirchen LA15;Siedlung;Mennenga 2011;0;0;0;0;0;0;0;1;0;0;4438109;6025094
Neukirchen LA22;Siedlung;Mennenga 2011;0;0;0;0;0;0;0;1;1;0;4437887;6024972
Neukirchen LA41;Siedlung;Mennenga 2011;0;0;0;0;0;0;0;1;1;0;4439600;6023100
Neukirchen LA51;Siedlung;Mennenga 2011;0;0;0;0;0;0;0;1;1;0;4438780;6022960
Neukirchen LA52;Siedlung;Mennenga 2011;0;1;1;1;1;1;0;0;0;0;4438686;6022760
Neukirchen LA67;Siedlung;Mennenga 2011;0;0;1;1;1;1;1;1;1;0;4439660;6022220
Oldenburg LA3;Siedlung;Mennenga 2011;0;0;0;0;0;0;0;0;1;0;4429410;6017551
